source_account,target_account,amount_inr,timestamp,remarks
ACC00109,ACC00107,197829.98,2025-07-10T15:16:02,Unknown
ACC00104,ACC00106,71716.35,2026-03-10T01:55:41,Loan
ACC00105,ACC00102,159968.81,2025-03-23T12:47:28,Commission
ACC00106,ACC00103,99492.54,2025-05-24T11:59:51,Settlement
ACC00105,ACC00102,145552.72,2024-03-21T13:38:52,Payment
ACC00109,ACC00105,64581.68,2024-03-22T10:42:18,Loan
ACC00108,ACC00107,33745.63,2025-03-30T11:28:02,Unknown
ACC00106,ACC00108,55273.79,2026-03-21T01:04:42,Unknown
ACC00107,ACC00106,102860.66,2026-02-06T21:10:01,Payment
ACC00110,ACC00108,7442.39,2024-03-09T07:49:41,Loan
ACC00106,ACC00108,189918.69,2024-02-03T19:09:43,Commission
ACC00106,ACC00107,89065.89,2024-03-19T18:08:33,Loan
ACC00107,ACC00106,130087.37,2024-09-12T03:01:47,Payment
ACC00108,ACC00110,77703.98,2025-07-29T03:16:49,Loan
ACC00108,ACC00104,199274.84,2024-10-19T22:58:31,Payment
ACC00102,ACC00104,170638.84,2025-04-07T05:57:45,Commission
ACC00102,ACC00107,133734.04,2025-12-27T02:35:34,Loan
ACC00105,ACC00103,142505.92,2025-12-18T20:11:50,Loan
ACC00109,ACC00104,24711.81,2024-07-24T04:15:50,Commission
ACC00101,ACC00107,111027.28,2025-01-12T14:51:35,Payment
ACC00110,ACC00102,13616.75,2025-02-11T22:46:30,Settlement
ACC00107,ACC00108,164756.21,2024-03-16T04:20:41,Transfer
ACC00108,ACC00109,136181.74,2024-12-18T04:56:53,Settlement
ACC00110,ACC00103,153672.44,2024-05-12T13:32:58,Transfer
ACC00102,ACC00110,31026.59,2024-06-17T05:20:59,Unknown
ACC00104,ACC00107,189522.89,2025-06-15T09:54:05,Loan
ACC00104,ACC00110,55252.98,2025-10-02T09:39:34,Transfer
ACC00109,ACC00103,118565.78,2025-08-17T04:10:42,Settlement
ACC00110,ACC00106,168584.74,2025-07-31T01:52:55,Transfer
ACC00102,ACC00101,189735.1,2026-02-28T18:16:41,Payment
ACC00110,ACC00107,123812.63,2024-02-01T15:56:40,Settlement
ACC00105,ACC00106,96847.49,2026-04-04T21:25:19,Commission
ACC00102,ACC00101,32037.05,2025-03-01T15:29:13,Loan
ACC00110,ACC00103,62860.21,2026-01-05T10:46:55,Loan
ACC00107,ACC00103,152252.67,2025-06-11T17:06:20,Payment
ACC00108,ACC00102,53860.6,2024-09-10T04:06:03,Loan
ACC00107,ACC00108,50029.92,2026-06-05T05:52:20,Settlement
ACC00106,ACC00104,152742.71,2025-05-25T16:29:31,Loan
ACC00108,ACC00101,18464.79,2025-02-06T16:29:15,Payment
ACC00110,ACC00106,10207.3,2024-10-15T15:38:56,Unknown
ACC00108,ACC00105,107569.8,2026-05-17T03:27:08,Loan
ACC00106,ACC00108,73504.5,2025-02-14T01:36:35,Payment
ACC00106,ACC00110,58076.04,2025-01-30T16:28:48,Settlement
ACC00105,ACC00102,26168.35,2024-04-09T12:23:50,Loan
ACC00109,ACC00106,151115.55,2024-07-22T19:32:25,Settlement
ACC00101,ACC00102,8263.34,2025-12-31T10:51:30,Settlement
ACC00108,ACC00103,121448.97,2025-06-11T04:20:59,Settlement
ACC00106,ACC00103,78894.44,2025-09-23T23:53:19,Settlement
ACC00106,ACC00110,165743.73,2025-06-29T15:45:36,Loan
ACC00108,ACC00101,73987.38,2025-11-20T03:26:37,Loan
ACC00101,ACC00109,53473.32,2025-11-02T18:36:14,Unknown
ACC00101,ACC00109,34517.16,2025-10-06T23:39:49,Commission
ACC00103,ACC00105,6798.32,2025-12-18T03:12:01,Commission
ACC00106,ACC00108,30710.54,2025-12-08T06:26:32,Settlement
ACC00108,ACC00101,141302.16,2025-06-15T06:35:20,Unknown
ACC00108,ACC00110,75676.54,2024-06-26T14:58:34,Loan
ACC00109,ACC00106,135335.78,2026-06-07T23:43:41,Unknown
ACC00105,ACC00109,38856.7,2024-09-09T08:35:19,Payment
ACC00105,ACC00106,141127.74,2025-12-07T22:31:20,Commission
ACC00106,ACC00110,186773.22,2026-03-25T23:17:18,Transfer
ACC00110,ACC00109,76248.99,2025-02-08T11:49:51,Payment
ACC00105,ACC00101,57882.25,2026-01-01T02:22:59,Commission
ACC00105,ACC00109,43190.37,2026-04-27T17:17:59,Settlement
ACC00105,ACC00103,22290.7,2026-01-28T18:15:15,Transfer
ACC00109,ACC00104,127769.94,2024-02-23T03:26:21,Unknown
